route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
AF.91,20220904_-----S-_33,516175,,,0,6193_91-A,91_1006320_1_30
AF.91,20220904_-----S-_33,516183,,,1,6193_91-A,91_1006320_2_72
AF.91,20220904_MTWTF--_34,516176,,,0,6189_91-A,91_1006320_1_30
AF.91,20220904_MTWTF--_34,516179,,,0,6189_91-A,91_1006320_1_30
AF.91,20220904_MTWTF--_34,516180,,,1,6189_91-A,91_1006320_2_67
AF.91,20220904_MTWTF--_34,516181,,,1,6189_91-A,91_1006320_2_72
AF.92,20220904_MTWTF--_23,516185,,,0,,92_1006320_1_1
AF.92,20220904_MTWTF--_23,516186,,,0,,92_1006320_1_1
AF.92,20220904_MTWTF--_23,516188,,,0,6176_92-A,92_1006320_1_1
AF.92,20220904_MTWTF--_23,516189,,,1,,92_1006320_2_51
AF.92,20220904_MTWTF--_23,516190,,,1,6176_92-A,92_1006320_2_51
AF.92,20220904_MTWTF--_23,516191,,,1,6176_92-A,92_1006320_2_51
AF.93,20220904_-----S-_33,516195,,,0,6194_93-A,93_1006320_1_1
AF.93,20220904_-----S-_33,516200,,,1,6194_93-A,93_1006320_2_4
AF.93,20220904_-T-----_30,516197,,,0,6188_93-A,93_1006320_1_1
AF.93,20220904_-T-----_30,516204,,,1,6188_93-A,93_1006320_2_4
AF.93,20220904_MTWTF--_34,516192,,,0,6188_93-A,93_1006320_1_1
AF.93,20220904_MTWTF--_34,516193,,,0,6188_93-A,93_1006320_1_1
AF.93,20220904_MTWTF--_34,516199,,,1,6188_93-A,93_1006320_2_4
AF.93,20220904_MTWTF--_34,516202,,,1,6188_93-A,93_1006320_2_4
AF.94,20220926_------S_44,516655,,,0,,94_1006320_1_12
AF.94,20220926_------S_44,516656,,,1,,94_1006320_2_63
AF.94,20220926_---T---_45,516653,,,0,,94_1006320_1_12
AF.94,20220926_---T---_45,516657,,,1,,94_1006320_2_63
AF.94,20220926_M-W-F--_46,516652,,,0,,94_1006320_1_12
AF.94,20220926_M-W-F--_46,516654,,,1,,94_1006320_2_62
AF.95,20220904_MTWTF--_23,516210,,,0,6191_95-A,95_1006320_1_1
AF.95,20220904_MTWTF--_23,516211,,,1,6191_95-A,95_1006320_2_51
AF.96,20220904_MTWTF--_23,516632,Faskrudsfjordur,,0,,96_1006320_1_1
AF.96,20220904_MTWTF--_23,516633,Reydarfjordur,,0,,96_1006320_1_2
AF.96,20220904_MTWTF--_23,516634,Faskrudsfjordur,,0,,96_1006320_1_3
AF.96,20220904_MTWTF--_23,516635,Faskrudsfjordur,,0,,96_1006320_1_4
AF.96,20220904_MTWTF--_23,516636,Faskudsfjordur,,0,,96_1006320_1_4
AF.96,20220904_MTWTF--_23,516637,Faskrudsfjordur,,0,,96_1006320_1_4
AF.96,20220904_MTWTF--_23,516638,Nordfjordur,,1,,96_1006320_2_51
AF.96,20220904_MTWTF--_23,516639,Nordfjordur,,1,,96_1006320_2_51
